time,id,origin,destination
0,e1,undefined,nodeA
0,e2,undefined,nodeA
0,e3,undefined,nodeA
0,e4,undefined,nodeA
0,e5,undefined,nodeA
0,e6,undefined,nodeA
0,e7,undefined,nodeA
0,e8,undefined,nodeA
0,e9,undefined,nodeA
0,e10,undefined,nodeA
0,e11,undefined,nodeA
0,e12,undefined,nodeA
0,e13,undefined,nodeA
0,e14,undefined,nodeA
0,e15,undefined,nodeA
0,e16,undefined,nodeA
0,e17,undefined,nodeA
0,e18,undefined,nodeA
0,e19,undefined,nodeA
0,e20,undefined,nodeA
0,e21,undefined,nodeA
0,e22,undefined,nodeA
1411579259997,e19,nodeA,nodeB
1411579259998,e7,nodeA,nodeN
1411579259999,e1,nodeA,nodeL
1411579260000,e5,nodeA,nodeN
1411579260001,e19,nodeB,nodeA
1411579260002,e6,nodeA,nodeI
1411579260003,e18,nodeA,nodeI
1411579260004,e2,nodeA,nodeM
1411579260005,e7,nodeN,nodeE
1411579260006,e3,nodeA,nodeG
1411579260007,e8,nodeA,nodeF
1411579260008,e8,nodeF,nodeA
1411579260009,e7,nodeE,nodeG
1411579260010,e14,nodeA,nodeL
1411579260011,e19,nodeA,nodeI
1411579260012,e19,nodeI,nodeH
1411579260013,e12,nodeA,nodeM
1411579260014,e21,nodeA,nodeI
1411579260015,e22,nodeA,nodeE
1411579260016,e2,nodeM,nodeH
1411579260017,e20,nodeA,nodeH
1411579260018,e21,nodeI,nodeF
1411579260019,e13,nodeA,nodeJ
1411579260020,e18,nodeI,nodeB
1411579260021,e22,nodeE,nodeA
1411579260022,e15,nodeA,nodeD
1411579260023,e21,nodeF,nodeH
1411579260024,e18,nodeB,nodeI
1411579260025,e4,nodeA,nodeM
1411579260026,e5,nodeN,nodeM
1411579260027,e8,nodeA,nodeM
1411579260028,e3,nodeG,nodeB
1411579260029,e18,nodeI,nodeN
1411579260030,e17,nodeA,nodeE
1411579260031,e10,nodeA,nodeB
1411579260032,e4,nodeM,nodeE
1411579260033,e21,nodeH,nodeC
1411579260034,e5,nodeM,nodeJ
1411579260035,e13,nodeJ,nodeB
1411579260036,e12,nodeM,nodeC
1411579260037,e13,nodeB,nodeM
1411579260038,e19,nodeH,nodeD
1411579260039,e12,nodeC,nodeK
1411579260040,e10,nodeB,nodeH
1411579260041,e4,nodeE,nodeM
1411579260042,e8,nodeM,nodeB
1411579260043,e20,nodeH,nodeE
1411579260044,e11,nodeA,nodeJ
1411579260045,e20,nodeE,nodeJ
1411579260046,e4,nodeM,nodeL
1411579260047,e15,nodeD,nodeC
1411579260048,e14,nodeL,nodeF
1411579260049,e12,nodeK,nodeN
1411579260050,e6,nodeI,nodeL
1411579260051,e14,nodeF,nodeJ
1411579260052,e3,nodeB,nodeD
1411579260053,e20,nodeJ,nodeI
1411579260054,e11,nodeJ,nodeK
1411579260055,e14,nodeJ,nodeF
1411579260056,e7,nodeG,nodeK
1411579260057,e4,nodeL,nodeE
1411579260058,e18,nodeN,nodeL
1411579260059,e19,nodeD,nodeK
1411579260060,e19,nodeK,nodeL
1411579260061,e5,nodeJ,nodeA
1411579260062,e2,nodeH,nodeN
1411579260063,e3,nodeD,nodeI
1411579260064,e6,nodeL,nodeD
1411579260065,e18,nodeL,nodeG
1411579260066,e19,nodeL,nodeD
1411579260067,e21,nodeC,nodeI
1411579260068,e3,nodeI,nodeD
1411579260069,e21,nodeI,nodeJ
1411579260070,e8,nodeB,nodeG
1411579260071,e11,nodeK,nodeF
1411579260072,e9,nodeA,nodeJ
1411579260073,e6,nodeD,nodeN
1411579260074,e5,nodeA,nodeB
1411579260075,e18,nodeG,nodeM
1411579260076,e22,nodeA,nodeJ
1411579260077,e7,nodeK,nodeF
1411579260078,e17,nodeE,nodeD
1411579260079,e17,nodeD,nodeG
1411579260080,e14,nodeF,nodeM
1411579260081,e21,nodeJ,nodeH
1411579260082,e17,nodeG,nodeF
1411579260083,e18,nodeM,nodeG
1411579260084,e15,nodeC,nodeB
1411579260085,e10,nodeH,nodeB
1411579260086,e3,nodeD,nodeF
1411579260087,e12,nodeN,nodeG
1411579260088,e19,nodeD,nodeE
1411579260089,e17,nodeF,nodeB
1411579260090,e10,nodeB,nodeI
1411579260091,e16,nodeA,nodeH
1411579260092,e1,nodeL,nodeA
1411579260093,e13,nodeM,nodeG
1411579260094,e12,nodeG,nodeA
1411579260095,e6,nodeN,nodeA
1411579260096,e22,nodeJ,nodeA
1411579260097,e19,nodeE,nodeD
1411579260098,e14,nodeM,nodeC
1411579260099,e21,nodeH,nodeK
1411579260100,e9,nodeJ,nodeA
1411579260101,e16,nodeH,nodeJ
