Timestamp,Course,Studies,Frequency of use,Plarform,Perception of dependence,Satisfaction,Availability,Most used tool, Least Used tool
11/24/2014 18:19:25,2012 / 2013,Grado,Mensual,Moodle,No,Muy poca,Baja,Recursos (ficheros),Foros
11/24/2014 18:19:52,2013 / 2014,Grado,Mensual,Moodle,No,Muy poca,Baja,Recursos (ficheros),Foros
11/24/2014 18:34:38,2013 / 2014,Grado,Semanal,Moodle,No,Poca,Baja,Recursos (ficheros),Foros
11/24/2014 18:35:06,2013 / 2014,Grado,Semanal,Moodle,No,Muy poca,Baja,Noticias,Foros
11/24/2014 18:35:28,2012 / 2013,Grado,Mensual,Blackboard,Si,Normal,Normal,Recursos (ficheros),Foros
11/24/2014 18:36:16,2012 / 2013,Grado,Semanal,Sakai,No,Normal,Baja,Recursos (ficheros),Noticias
11/24/2014 18:36:56,2014 / 2015,Grado,Diaria,Moodle,No,Poca,Baja,Recursos (ficheros),Foros
11/24/2014 18:37:04,2014 / 2015,Grado,Semanal,Sakai,No,Poca,Normal,Recursos (ficheros),Foros
11/24/2014 18:59:01,2014 / 2015,Grado,Semanal,Sakai,No,Normal,Normal,Recursos (ficheros),Noticias
11/24/2014 19:01:16,2013 / 2014,Grado,Mensual,Sakai,No,Poca,Normal,Recursos (ficheros),Foros
11/24/2014 19:05:49,2014 / 2015,Grado,Semanal,Sakai,No,Muy poca,Normal,Recursos (ficheros),Foros
11/24/2014 19:14:59,2013 / 2014,Grado,Semanal,Moodle,Si,Normal,Normal,Recursos (ficheros),Foros
11/24/2014 19:18:47,2014 / 2015,Grado,Semanal,Moodle,No,Poca,Baja,Recursos (ficheros),Noticias
11/24/2014 19:22:27,2014 / 2015,Grado,Semanal,Moodle,No,Muy poca,Normal,Recursos (ficheros),Foros
11/24/2014 19:22:55,2014 / 2015,Grado,Semanal,Moodle,No,Normal,Alta,Recursos (ficheros),Foros
11/24/2014 19:32:54,2014 / 2015,Grado,Semanal,Sakai,No,Normal,Alta,Recursos (ficheros),Foros
11/24/2014 19:37:01,2014 / 2015,Grado,Semanal,Moodle,No,Poca,Alta,Recursos (ficheros),Foros
11/24/2014 20:10:16,2014 / 2015,Grado,Semanal,Sakai,Si,Normal,Normal,Recursos (ficheros),Foros
11/24/2014 20:47:27,2014 / 2015,Grado,Diaria,Sakai,No,Muy poca,Normal,Recursos (ficheros),Foros
11/24/2014 20:49:49,2013 / 2014,Grado,Diaria,Sakai,No,Bastante,Normal,Recursos (ficheros),Foros
11/24/2014 22:25:59,2014 / 2015,Grado,Semanal,Sakai,No,Muy poca,Baja,Recursos (ficheros),Noticias
