date,node,cpu,int,mem,hd
2014-02-01 00:05:00,nodeId01.ret.org,8.5,0.02,91.72,NA
2014-02-01 00:05:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 00:05:00,nodeIn01.ret.org,10,0.01,92,NA
2014-02-01 00:05:00,nodeIn02.ret.org,12,0.01,92.07,NA
2014-02-01 00:10:00,nodeId01.ret.org,8.5,0.04,91.73,NA
2014-02-01 00:10:00,nodeId02.ret.org,10.5,0,91.09,NA
2014-02-01 00:10:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 00:10:00,nodeIn02.ret.org,12,0.01,92.07,NA
2014-02-01 00:15:00,nodeId01.ret.org,8.5,0.02,91.72,NA
2014-02-01 00:15:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 00:15:00,nodeIn01.ret.org,10,0.02,92,NA
2014-02-01 00:15:00,nodeIn02.ret.org,11.5,0.01,92.07,NA
2014-02-01 00:20:00,nodeId01.ret.org,8.5,0.03,91.72,NA
2014-02-01 00:20:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 00:20:00,nodeIn01.ret.org,10,0.02,91.99,NA
2014-02-01 00:20:00,nodeIn02.ret.org,12,0.01,92.07,NA
2014-02-01 00:25:00,nodeId01.ret.org,8.5,0.03,91.73,NA
2014-02-01 00:25:00,nodeId02.ret.org,9.5,0,91.11,NA
2014-02-01 00:25:00,nodeIn01.ret.org,10,0.02,91.99,NA
2014-02-01 00:25:00,nodeIn02.ret.org,11.5,0.01,92.08,NA
2014-02-01 00:30:00,nodeId01.ret.org,8.5,0.01,91.72,NA
2014-02-01 00:30:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 00:30:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 00:30:00,nodeIn02.ret.org,11.5,0.01,92.08,NA
2014-02-01 00:35:00,nodeId01.ret.org,8.5,0.03,91.72,NA
2014-02-01 00:35:00,nodeId02.ret.org,9.5,0,91.09,NA
2014-02-01 00:35:00,nodeIn01.ret.org,10,0.01,91.99,NA
2014-02-01 00:35:00,nodeIn02.ret.org,12.5,0.01,92.07,NA
2014-02-01 00:40:00,nodeId01.ret.org,8.5,0.02,91.72,NA
2014-02-01 00:40:00,nodeId02.ret.org,9.5,0,91.1,NA
2014-02-01 00:40:00,nodeIn01.ret.org,10.5,0.01,92,NA
