node1.cpu$0@100 node1.int$0@100 node1.mem$0@100 node2.cpu$0@100 node2.int$0@100 node2.mem$0@100 node3.cpu$0@100 node3.int$0@100 node3.mem$0@100 node4.cpu$0@100 node4.int$0@100 node4.mem$0@100
3 1 30 9 0 17 18 0 35 21 0 37
3 0 30 9 0 17 12 0 36 24 0 37
3 1 30 15 0 17 12 0 35 24 0 37
3 0 30 9 0 17 12 0 36 21 0 37
3 1 30 9 0 17 12 0 35 24 0 37
3 1 30 9 0 17 12 0 35 21 0 37
3 0 30 9 0 17 12 0 35 21 0 37
3 1 30 9 0 17 12 0 35 27 0 37
3 0 30 9 0 17 15 0 36 24 0 37
3 0 30 9 0 17 15 0 35 24 0 37
3 1 30 9 0 17 12 0 36 21 0 37
3 1 30 9 0 17 12 0 35 24 0 37
3 0 30 9 0 17 15 0 36 24 0 37
3 1 30 9 0 17 12 0 35 21 0 37
3 1 30 9 0 17 12 0 35 24 0 37
3 0 30 9 0 17 12 0 36 21 0 37
0 1 30 9 0 17 15 0 35 24 0 38
3 0 30 9 0 17 12 0 35 21 0 37
0 1 30 9 0 17 12 0 35 24 0 37
3 0 30 9 0 17 12 3 35 24 0 37
3 1 30 9 0 17 12 1 35 24 0 37
3 1 30 9 0 17 12 0 35 24 0 37
3 0 30 9 0 17 15 0 36 21 0 37
3 1 30 9 0 17 12 0 35 21 0 37
3 0 30 9 0 17 15 4 36 21 0 37
6 1 30 9 0 17 12 0 35 24 0 37
3 0 30 12 0 17 12 1 35 21 0 37
3 0 30 9 0 17 12 1 35 21 0 37
3 1 30 9 0 17 9 0 35 24 0 37
3 0 30 9 0 17 15 0 36 21 0 38
3 1 30 9 0 17 12 0 35 24 0 37
3 0 30 9 0 17 12 0 36 27 0 37
3 1 30 6 0 17 15 0 35 21 0 37
3 0 30 9 0 17 12 0 35 24 0 37
3 1 30 9 0 17 12 0 35 24 0 37
3 0 30 9 0 17 12 1 35 24 0 37
6 0 30 9 0 17 15 0 35 24 0 37
3 0 30 9 0 17 12 0 35 24 0 38
0 0 30 15 0 17 12 0 36 24 0 37
